baseline_sample_id,variant_sample_id,axis,language,source_class,source_domain,variant_source,transform_version,baseline_text_sha256,variant_text_sha256,cosine_similarity,euclidean_distance,manhattan_distance
pbv11-sample-001-baseline,pbv11-sample-001-variant-d,word_order_shift,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,255fb17a1d4d4c7b60e696d1241468d72419e20c3e0bed73f2bd962a00f161dc,0.999876,1.057149,1.542686
pbv11-sample-002-baseline,pbv11-sample-002-variant-b,compressed_version,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,c74f503d94cefb92a0b495a2d5c3769b13ec55267ec50c1d15c6dc19d5d504ac,0.993684,5.020702,5.896079
pbv11-sample-002-baseline,pbv11-sample-002-variant-e,formalized_style,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,03f3a88113171b4a5da3135a37b085921a1e3e1fede5efbc3ad766cd97d01919,0.998936,1.017538,1.6318
pbv11-sample-002-baseline,pbv11-sample-002-variant-f,informalized_style,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,70594a25ba741ea89a6bd8dffc8f9c2d34d9e71d6236206a5671f77af8474318,0.999809,1.01172,1.298641
pbv11-sample-002-baseline,pbv11-sample-002-variant-a,punctuation_cleanup,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,6fd08a55d66b82269d20cbd1b3ec1359c3bb84451ec5c9c13d9ecd5611de4a84,0.999999,0.030982,0.043728
pbv11-sample-002-baseline,pbv11-sample-002-baseline-punctuation_strip,punctuation_strip,ru,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,6f9001ba4e1437a398da21f10f6342b18d42e2268991f7bdb94bb988cf340844,0.975514,19.500049,19.562127
pbv11-sample-002-baseline,pbv11-sample-002-baseline-sentence_order_rotate,sentence_order_rotate,ru,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,35ea1d6667f8b8dd6aef579d5bc8d1bb8b472c2d56ac706c2e1a9e92b096c501,1.0,0.003384,0.003384
pbv11-sample-002-baseline,pbv11-sample-002-variant-c,sentence_split_merge,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,6c292342831d1e9ce9f16be82a8f17ffb038ce40745401a41fdd5ac7086b9b63,0.959019,9.257285,9.735118
pbv11-sample-002-baseline,pbv11-sample-002-baseline-token_pair_swap,token_pair_swap,ru,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,35d4815ac4dedbc73f73652fef1f02c5e90bea320dd16ca932064575a9908473,1.0,0.003384,0.003384
pbv11-sample-002-baseline,pbv11-sample-002-baseline-token_stride_drop,token_stride_drop,ru,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,80098e333927d55534e1d3d019fc034dcbd3161c549ef5f3d057aa9d7e9f001d,0.998782,2.016255,2.474604
pbv11-sample-002-baseline,pbv11-sample-002-baseline-token_stride_duplicate,token_stride_duplicate,ru,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,b57d14529b3f525e8c8005c3905fafd74e57557c1a6a2af1dfafdce72a921c9f,0.999494,1.514517,1.978622
pbv11-sample-002-baseline,pbv11-sample-002-variant-d,word_order_shift,ru,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,6bc55c1491cd30bc0246e558e3612676bb92e162cf3d1b40da750c86b0ae420b,2665b6abda162cab1cbcf658a2e3b6d100161d28479bdbf11d5e06b93a0fbec6,0.999902,0.519811,0.717324
pbv11-sample-003-baseline,pbv11-sample-003-variant-b,compressed_version,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,8c6120b378e88a2f57f84a56242bb7916a4b2f605702feaa7635c192db62de13,0.998858,13.008216,13.994336
pbv11-sample-003-baseline,pbv11-sample-003-variant-e,formalized_style,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,e5333bf495e46fe2babebfe44ead1f5f961a7440dd1b214a2fd91bf34addab8a,0.999729,6.006751,6.640713
pbv11-sample-003-baseline,pbv11-sample-003-variant-f,informalized_style,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,7c640425609288153cff9ff0ea56f82d1c1bf88c3357bdca3d9014cfedb60f20,0.999478,11.024134,12.733989
pbv11-sample-003-baseline,pbv11-sample-003-variant-a,punctuation_cleanup,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,31e44a6dd41cde622a77c007dd57cce3468ce83f108cc748aaedd85d78c84bd1,1.0,0.038211,0.057334
pbv11-sample-003-baseline,pbv11-sample-003-baseline-punctuation_strip,punctuation_strip,en,public-domain government text,government prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,04c631efaeb2e34545c7a0edac7ce40d1d90281ea1c0f554da1272c679f0afaa,1.0,0.040119,0.056723
pbv11-sample-003-baseline,pbv11-sample-003-baseline-sentence_order_rotate,sentence_order_rotate,en,public-domain government text,government prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,1.0,0.0,0.0
pbv11-sample-003-baseline,pbv11-sample-003-variant-c,sentence_split_merge,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,2d789f4faa49fe842246605c55348b77cb08c814978fc3d6f4dd031af7c54ad7,0.922081,37.750425,38.161818
pbv11-sample-003-baseline,pbv11-sample-003-baseline-token_pair_swap,token_pair_swap,en,public-domain government text,government prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,98ee51ffed057e3580cc4a57267add90d494b4c481dc48d52733076426c857d0,0.986569,26.0,26.003044
pbv11-sample-003-baseline,pbv11-sample-003-baseline-token_stride_drop,token_stride_drop,en,public-domain government text,government prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,9d2c55495f3d48389ba8c7fdbd8247b44b8168a0a723d057181aabe5d151c002,0.99983,5.003682,5.407866
pbv11-sample-003-baseline,pbv11-sample-003-baseline-token_stride_duplicate,token_stride_duplicate,en,public-domain government text,government prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,c8c7f554958e186efe2fa4b0972a799354698f7315bbb8dec58dfedbf126e534,0.999912,4.004968,4.416953
pbv11-sample-003-baseline,pbv11-sample-003-variant-d,word_order_shift,en,public-domain government text,government prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,c3af659184e0681a26b6ecaf9bdbf625e113170192132fdc4c5474b0e36a0c1d,5811f5e5544ece22cc562ac56dff3ada33ebd64d68f73de56533f123f68e8049,0.981326,28.500757,28.973362
pbv11-sample-004-baseline,pbv11-sample-004-variant-b,compressed_version,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,0358a22a75f2b0d060f0f9a290f72d66131332c09368f64c5338290f15a2e14d,0.94479,9.323723,10.314347
pbv11-sample-004-baseline,pbv11-sample-004-variant-e,formalized_style,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,4dc61f036863053283359d46c83346aeed3b8087dab579922c41ebe5dda5e1a6,0.995596,2.110629,3.499287
pbv11-sample-004-baseline,pbv11-sample-004-variant-f,informalized_style,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,35945799e06e1fb4ee80ce439145b9bbd8afe96622eb81d0907ea29221c33d1a,0.92405,11.800846,12.103896
pbv11-sample-004-baseline,pbv11-sample-004-variant-a,punctuation_cleanup,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,b21b4252f268cc3cd3a27f2f4289d84fc53360e8e23fbd6264ab511e6ca336cf,0.837681,32.8001,32.914041
pbv11-sample-004-baseline,pbv11-sample-004-baseline-punctuation_strip,punctuation_strip,fr,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,39302e205ad57433a220d5d25dae56c3c28f13ad078c085a8492dfa954cd0a20,0.837335,32.800155,32.987902
pbv11-sample-004-baseline,pbv11-sample-004-baseline-sentence_order_rotate,sentence_order_rotate,fr,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,b2a2b58c358d757bf13dd98062561ff1dc2243014eb1c0f53187aefe03e89e9c,1.0,0.00464,0.00464
pbv11-sample-004-baseline,pbv11-sample-004-variant-c,sentence_split_merge,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,4b63ea05acf1f1e65723ebdc8763b6205356155d195ebd3487349f101f056e8a,0.997338,1.351558,1.865401
pbv11-sample-004-baseline,pbv11-sample-004-baseline-token_pair_swap,token_pair_swap,fr,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,1c1ba8681a1076930f3780a467d50eb326f4b754f4f78ec7cef21835d197866a,1.0,0.00464,0.00464
pbv11-sample-004-baseline,pbv11-sample-004-baseline-token_stride_drop,token_stride_drop,fr,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,c1b42d6058e66fe0f365455a81ea42b7c793f4b1bf93d7e69e10ced894a433dc,0.999088,0.815059,1.123466
pbv11-sample-004-baseline,pbv11-sample-004-baseline-token_stride_duplicate,token_stride_duplicate,fr,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,ff6f4b94ac3d1babc8ab81f71ec8ae195771a2c9e9231caca61b5921318937eb,0.997808,0.891882,1.374862
pbv11-sample-004-baseline,pbv11-sample-004-variant-d,word_order_shift,fr,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,832218ecb4d57dd425cae6b8a7f0d66246ddb083b73ba6df293b1577516573f8,f9e9e31b2e62238e5ab2f539327dfc233378dbf29bb583441fd3c1403f1d74cc,0.847367,29.801674,30.367929
pbv11-sample-005-baseline,pbv11-sample-005-variant-b,compressed_version,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,74958a5688cc936c40234dc8724008d1fbfbee8136a9e2872c8e5801f7b9d1ee,0.998787,5.029025,6.268128
pbv11-sample-005-baseline,pbv11-sample-005-variant-e,formalized_style,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,99539e247fcfd0716f89710ffef216350299b7c871174caf1bdcad026847b945,0.999993,0.515292,0.693307
pbv11-sample-005-baseline,pbv11-sample-005-variant-f,informalized_style,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,de1bfafd6b6d1d60acd7ed9e6e1c0302535b50143b3a5cbe0ac8c610f120f81a,0.991562,9.525664,10.988188
pbv11-sample-005-baseline,pbv11-sample-005-variant-a,punctuation_cleanup,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,ea53ecdf5404a9af199c0d6571b51847516e0b764d3c25f1e44888e97cdb5a19,0.988313,27.000024,27.050473
pbv11-sample-005-baseline,pbv11-sample-005-baseline-punctuation_strip,punctuation_strip,en,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,7d4e2128158f8b48ca1d75df14054637a8d39275f19612a01ee95325cd8d27a5,0.988307,27.000027,27.05379
pbv11-sample-005-baseline,pbv11-sample-005-baseline-sentence_order_rotate,sentence_order_rotate,en,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,4dc4273b4a9292736f285ad1fd011ba910d8cb8824653c8cc9cd36c80c6cb947,1.0,0.003241,0.003241
pbv11-sample-005-baseline,pbv11-sample-005-variant-c,sentence_split_merge,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,7a023d2021fa247450fc230b0785b8451870e068d91c7512b9ad523af718f94a,0.97415,12.501348,12.895353
pbv11-sample-005-baseline,pbv11-sample-005-baseline-token_pair_swap,token_pair_swap,en,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,512dc285671d21ddad23b9caadc1bc23b824908800661dd0aa4dfedd0d04cbef,1.0,0.003241,0.003241
pbv11-sample-005-baseline,pbv11-sample-005-baseline-token_stride_drop,token_stride_drop,en,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,8b027b3c116cf9e7465e4ee8b81e0a4fa5f06b15327c8739478dc2740dcb958f,0.999388,3.006378,3.392501
pbv11-sample-005-baseline,pbv11-sample-005-baseline-token_stride_duplicate,token_stride_duplicate,en,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,704c2dfe42fca63338da6f612a842973a3131115f5a3387b8f9b10bb5769318e,0.999879,2.016392,2.584809
pbv11-sample-005-baseline,pbv11-sample-005-variant-d,word_order_shift,en,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,90c5eb88f97b1d107c7c85808c1e416ec89b2fb0e93bf50b530997a4ba6b0c8f,84727bea5bb91e1a06378c79be4aa109b3908ec918494924f5cbf9829e25aec1,0.997886,5.518001,6.517675
pbv11-sample-006-baseline,pbv11-sample-006-variant-b,compressed_version,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,f9cf632fe90d0ae6560b3d7ed11f4293624be79ac98b4d13a883b8488e431ce2,0.999411,5.006289,5.490476
pbv11-sample-006-baseline,pbv11-sample-006-variant-e,formalized_style,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,c31015e4e3f725653f449abd50ec67da89eee0bd0f3138be4e28e740c8709676,0.999545,3.044332,3.765073
pbv11-sample-006-baseline,pbv11-sample-006-variant-f,informalized_style,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,f3ff2139a825058161be321d00d10c128f004ac4dc71771bf9392c8702c74f8b,0.999938,2.04824,2.954299
pbv11-sample-006-baseline,pbv11-sample-006-variant-a,punctuation_cleanup,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,c8f9b6706352645d9b7bb68b2d4c8b27c618e0d613d5fe73dee6c5d828aa99a5,0.999999,0.044629,0.062814
pbv11-sample-006-baseline,pbv11-sample-006-baseline-punctuation_strip,punctuation_strip,es,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,c5787597bc68cf3b4786d7e8227cd6bfffc6d6dfd0f7386c4a9c0a871a340309,0.999999,0.048492,0.068577
pbv11-sample-006-baseline,pbv11-sample-006-baseline-sentence_order_rotate,sentence_order_rotate,es,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,1.0,0.0,0.0
pbv11-sample-006-baseline,pbv11-sample-006-variant-c,sentence_split_merge,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,3bbc7ea305a03d56da8ccaf8951d2cf82926831fba511807babf584675f452f1,0.927217,23.335555,23.770281
pbv11-sample-006-baseline,pbv11-sample-006-baseline-token_pair_swap,token_pair_swap,es,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,c923d6f84f5fedad7678cfc269751dbb11be9261ceb961a1c9d6d9cd45b9b702,1.0,0.005602,0.005602
pbv11-sample-006-baseline,pbv11-sample-006-baseline-token_stride_drop,token_stride_drop,es,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,bb4e6d6d04478a86d19e02e27acb1de48c703ddeb9561e182061557869e45575,0.999724,4.003991,4.339434
pbv11-sample-006-baseline,pbv11-sample-006-baseline-token_stride_duplicate,token_stride_duplicate,es,public-domain literary text,literary prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,dcb3da1e1b2b3aa1943d8d2bedf6171b7f1685e90c3be9e6ab29492b7ba316f1,0.999967,2.013825,2.532288
pbv11-sample-006-baseline,pbv11-sample-006-variant-d,word_order_shift,es,public-domain literary text,literary prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,ff6fa70e08e26d866bd21c18fdf196bf58115892fa513a4b91a1605ff29652fb,c031661bf2e9bd69cc8bc46be185d36637a41afadfcab453f2cdfc577e8c19e9,0.999775,3.006807,3.448937
pbv11-sample-007-baseline,pbv11-sample-007-variant-b,compressed_version,fr,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,8ae70bf299d049b4ae9b308684e450db07e9b1a04e7c9f4376c15dfcb04762f4,0.999853,7.005409,7.499613
pbv11-sample-007-baseline,pbv11-sample-007-variant-e,formalized_style,fr,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,85de2a1c61b7b95acc384e42e4ea0a42efdfde8acc25af65308adf06ef3891e8,0.999999,0.081922,0.116846
pbv11-sample-007-baseline,pbv11-sample-007-variant-f,informalized_style,fr,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,7fec9d13c398ffd80b97fa16eb71f3b701a34791afd7e03be6c9cc80c8714592,0.97777,40.506157,42.06285
pbv11-sample-007-baseline,pbv11-sample-007-variant-a,punctuation_cleanup,fr,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,2acd9d89e4372d188006343dbfe52d925c71e68ed75dc88fe1aa785f1c706934,1.0,0.036369,0.051302
pbv11-sample-007-baseline,pbv11-sample-007-baseline-punctuation_strip,punctuation_strip,fr,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,172f9226d708f3998b569b5f865b45caa648d23572354a8b2b671e702c306934,1.0,0.038412,0.054319
pbv11-sample-007-baseline,pbv11-sample-007-baseline-sentence_order_rotate,sentence_order_rotate,fr,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,1.0,0.0,0.0
pbv11-sample-007-baseline,pbv11-sample-007-variant-c,sentence_split_merge,fr,public-domain political prose,political prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,fd177e0fd64220bed8bbdb61a4ac243da8b1812b4d3a43113339aaa50e51addd,0.966625,42.000004,42.035029
pbv11-sample-007-baseline,pbv11-sample-007-baseline-token_pair_swap,token_pair_swap,fr,public-domain political prose,political prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,231b055ece32c22630fe2e4510a19a736dd164b8fdffefdc647db7d34b7a34d9,bb5569610e461f59679a0934745c23a72cb3b5752fd9351b500548b62a99f90f,1.0,0.002946,0.002946
